SIZE-3year,GR-PROFIT-MARGIN-3year,CAPITAL-EMPLOYED-TURNOVER-3year,STOCKHOLDERS-EQUITY-TURNOVER-3year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-3year,DEBT/EQUITY-3year,EQUITY/CAPITAL-EMPLOYED-3year,WORKING-CAPITAL/TOTAL-ASSETS-3year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-3year,AV-PAYMENT-PERIOD-3year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-3year,SCALED-CHANGE-ASSETS-2year,SIZE-2year,CH.NET-INCOME-2year,GR-PROFIT-MARGIN-2year,CAPITAL-EMPLOYED-TURNOVER-2year,STOCKHOLDERS-EQUITY-TURNOVER-2year,CAPITAL-EMPLOYED/NET-FIXED-ASSETS-2year,DEBT/EQUITY-2year,EQUITY/CAPITAL-EMPLOYED-2year,WORKING-CAPITAL/TOTAL-ASSETS-2year,AV-COLLECTION-PERIOD-FOR-RECIEVABLES-2year,AV-PAYMENT-PERIOD-2year,AV-TURNOVER-PERIOD-FOR-INVENTORIES-2year,final
15.542377,23.54,13.02,13.02,20.97,12.85,1,0.068291,298,225,73,-0.012674,15.517027,-0.22427,22.79,10.57,10.57,43.28,12.95,1,0.069497,371,258,97,Non-Bankrupted
15.953653,26.74,5.66,6.01,0.66,2.27,0.94,-0.189776,39,93,38,0.035789,16.025261,0.046534,26.68,3.76,5.18,0.86,2.01,0.73,-0.097329,55,94,34,Non-Bankrupted
14.703808,37.52,2.55,2.55,1.02,1.33,1,0.003702,163,229,21,0.350394,15.435594,-1,36.55,1.5,1.5,2.23,0.88,1,0.287127,222,260,8,Non-Bankrupted
15.487443,25.49,0.92,0.94,1.81,0.89,0.98,0.239739,93,103,168,-0.048218,15.390932,-1,8.47,0.95,0.95,1.88,0.99,1,0.21437,103,111,167,Non-Bankrupted
15.731878,29.22,0.75,0.92,1.46,1.14,0.81,0.18216,259,199,349,0.090783,15.913944,0.468981,26.72,0.98,1.15,1.37,1.4,0.85,0.130375,253,151,274,Non-Bankrupted
15.613525,18.36,11.2,12.76,14.73,17.48,0.88,0.057473,168,302,339,0.105195,15.824697,-0.376785,24.03,6.76,7.7,26.94,21.82,0.88,0.048007,536,678,620,Non-Bankrupted
16.261987,14.03,88.8,240.21,1.69,127.24,0.37,0.00433,138,166,184.373027,-0.055437,16.151,-0.007402,13.84,68.59,176.76,2.79,83.64,0.39,0.015385,93,155,288.081482,Non-Bankrupted
16.337165,10.75,5.36,5.55,0.4,9.21,0.97,-0.150211,254,172,222,-0.249252,15.827935,-0.65838,-5.99,0,0,0,0,0,-0.444835,156,137,31,Non-Bankrupted
15.326028,8.42,1.54,1.86,1.01,1.11,0.83,0.000883,138,100,15,0.179214,15.688368,0.562615,11.77,1.59,1.99,0.77,1.54,0.8,-0.147844,148,144,13,Non-Bankrupted
15.196056,13.61,1.58,1.61,1.63,0.68,0.99,0.232835,112,128,103,0.106319,15.409502,0.454851,17.82,1.45,1.7,1.96,0.83,0.85,0.315029,125,140,109,Non-Bankrupted
